"0 ratings yet","0 Bewertungen bisher"
"Accept Cookies","Cookies akzeptieren"
"Add Review","Review hinzufügen"
"All results","Alle Ergebnisse"
"Applies only to registered customers, may vary when logged in.","Gilt nur für registrierte Kunden, kann variieren, wenn Sie eingeloggt sind."
"Bad","Schlecht"
"Based on %1 review","Basierend auf einer Bewertung"
"Based on %1 reviews","Basierend auf %1 Bewertungen"
"Cart Subtotal","Zwischensumme"
"Checkout now and earn <b class='message-earn-points-label'>%1</b> for this order.","Kasse jetzt und verdiene <b class='message-earn-points-label'>%1</b> für diese Bestellung."
"Clear all filters","Alle Filter zurücksetzen"
"Comment","Kommentar"
"Could be better","Könnte besser sein"
"Created At - Descending","Neuste"
"Custom Settings","Benutzereinstellungen"
"Do not forget about street number","Vergessen Sie nicht Ihre Hausnummer anzugeben"
"Earned points will be enrolled to your account after we finish processing your order.","Die verdienten Punkte werden nach Abschluss Ihrer Bestellung auf Ihrem Konto registriert."
"Edit account information","Accountdetails bearbeiten"
"Edit account information","Accountdetails bearbeiten"
"Edit address","Adressen bearbeiten"
"Go to %1","Gehe zu %1"
"Good","Gut"
"I already have an account","Ich habe ein Konto"
"I have an account","Ich habe ein Konto"
"I'm new here.","Ich bin neu hier."
"Less filters","Weniger Filter"
"More filters","Mehr Filter"
"My account","Mein Account"
"My Addresses","Meine Adressen"
"My orders","Meine Bestellungen"
"My product Reviews","Meine Produktrezensionen"
"My product Reviews","Meine Produktrezensionen"
"New user","Neuer Kunde"
"Nickname","Nickname"
"Order details","Bestelldetails"
"Order ID","Bestellnummer"
"Order ID","Bestellnummer"
"Order success","Bestellung erfolgreich"
"Order Success","Bestellung erfolgreich"
"Pages results","Seiten Ergebnisse"
"Payment methods","Zahlunsarten"
"Please provide postcode or city name to find nearest pickup locations.","Bitte geben Sie die Postleitzahl oder den Ortsnamen an, um die nächstgelegene Filiale zu finden."
"Please select and accept your Cookies Group","Bitte wählen und akzeptieren Sie Ihre Cookie Gruppe"
"Position - Ascending","Position - Aufsteigend"
"Position - Descending","Position - Absteigend"
"Price - Ascending","Preis - Aufsteigend"
"Price - Descending","Preis - Absteigend"
"Print receipt","Bestellung drucken"
"Product Name - Ascending","Name - Aufsteigend"
"Product Name - Descending","Name - Absteigend"
"Products results","Produkte Ergebnisse"
"review","Bewertung"
"reviews","Bewertungen"
"reviews","Reviews"
"Save Billing Address","Rechnungsadresse speichern"
"Search (%s)","Suche (%s)"
"Search with postcode or city name...","Suche mit Postleitzahl oder Ort ..."
"Select your rating","Bewertung auswählen"
"Show %1 out of %2 reviews", "Zeigt %1 von %2 Bewertungen"
"Show Active Users","Aktive Benutzer anzeigen"
"Show all products","Alle Produkte anzeigen"
"Show less","Weniger anzeigen"
"Show Password","Passwort anzeigen"
"Sort by:","Sortiert nach:"
"Thank you for placing your order","Vielen Dank für Ihre Bestellung"
"The confirmation request has been sent.","Die Bestätigungsanfrage wurde gesendet."
"The maximum you may purchase is %1.","Sie können maximal %1 Stück bestellen."
"The password doesn't match this account. Verify the password and try again.","Das eingegebene Passwort war nicht korrekt. Verifizieren Sie das Passwort und versuchen Sie es erneut."
"The requested store cannot be found. Please check the request and try again.","Der angeforderte Shop kann nicht gefunden werden. Bitte überprüfen Sie die Anfrage und versuchen Sie es erneut."
"Very bad","Sehr schlecht"
"Very good!","Sehr gut!"
"We can't find any results matching the selection.","Es wurden keine Ergebnisse gefunden, die der Auswahl entsprechen."
"We could not preselect pickup location based on available information, please select it manually.","Aufgrund der verfügbaren Informationen konnten wir keine Filia vorauswählen, bitte wählen Sie diese manuell aus."
"We'll email you an order and pick-up confirmation with details.","Wir senden Ihnen per E-Mail eine Bestell- und Abholbestätigung mit allen Einzelheiten."
"You Earn","Du verdienst"
"You earned %1 and spent %2 for this order.","Du hast %1 verdient und %2 für diese Bestellung ausgegeben."
"You earned %1 for this order.","Du hast %1 für diesen Auftrag verdient."
"You might like...","Das könnte Ihnen gefallen..."
"You saved your cookie settings!","Ihre Cookie Einstellungen wurden gespeichert!"
"You spent %1 for this order.","Sie haben %1 für diese Bestellung ausgegeben."
"Your order # is: %1.","Ihre Bestellung # ist: %1"
"Your order # is: <span>%1</span>.","Ihre Bestellung # ist: <span>%1</span>."
"Your rating","Deine Bewertung"
